codigo_dane,pai_et_municipios,establecimientos_educativos,matriculados,registrados,presentes,publicados
113244000591,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA ESPIRITU SANTO,65,65,65,65
213244000359,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA EL HOBO,52,41,40,40
113244000397,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA MARIA INMACULADA,55,55,54,54
113244000125,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA DE PROMOCIÓN SOCIAL,54,48,48,48
213244000367,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA EN EXPLOTACIONES AGROPECUARIAS ECOLOGICAS Y EN SISTEMAS DE  SAN ISIDRO,25,25,25,25
21324400088,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE MACAYEPOS,23,19,19,19
213244001983,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA EL SALADO,12,12,11,11
313244003247,EL CARMEN DE BOLÍVAR,INSTITUTO EDUCATIVO CRISTIANO COLOMBO AMERICANO,5,5,5,5
313244001139,EL CARMEN DE BOLÍVAR,INSTITUTO ALTAIR MONTEMARIANO,20,20,20,20
2132440011,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA DE AGROPECUARIA GUAMANGA,13,12,12,12
313244800015,EL CARMEN DE BOLÍVAR,INSTITUCION EDUCATIVA ELLEN WHITE SCHOOL,4,4,4,4
113248000057,EL GUAMO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIAL DE EL GUAMO,55,55,55,55
213248000124,EL GUAMO,INSTITUCION EDUCATIVA TÉCNICA AGROPESQUERA MANUEL PADILLA POLO DE ROBLES,40,40,40,40
213667000827,EL PEÑÓN,INSTITUCIÓN EDUCATIVA TÉCNICA AGROINDUSTRIAL DE EL PEÑON,27,26,26,26
213667001092,EL PEÑÓN,INSTITUCIÓN EDUCATIVA DE PEÑONCITO,13,13,13,13
213667000142,EL PEÑÓN,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROINDUSTRIAL DE CASTAÑAL,14,14,14,14
213268000091,EL PEÑÓN,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE BUENOS AIRES,13,13,13,13
213667000061,EL PEÑÓN,INSTITUCIÓN EDUCATIVA LA CHAPETONA,9,8,8,8
213667000096,HATILLO DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y ACUÍCOLA  DE LA VICTORIA,33,32,30,30
213667001068,HATILLO DE LOBA,INSTITUCIÓN EDUCATIVA DE JUANA SÁNCHEZ,13,13,13,13
213650000033,HATILLO DE LOBA,INSTITUCIÓN EDUCATIVA DEL VIOLO,40,22,22,22
213667001076,HATILLO DE LOBA,INSTITUCIÓN EDUCATIVA DE HATILLO DE LOBA,61,60,60,60
213667000479,HATILLO DE LOBA,INSTITUCIÓN EDUCATIVA DE LA RIBONA,14,14,14,14
213667000045,HATILLO DE LOBA,INSTITUCIÓN EDUCATIVA DE SAN MIGUEL,19,17,17,17
213433000238,MAHATES,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROINDUSTRIAL DE MALAGANA,129,118,115,115
213433000343,MAHATES,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA BENKOS BIOHO DE SAN BASILIO DE PALENQUE,38,37,36,36
213433000131,MAHATES,INSTITUCION EDUCATIVA DE EVITAR,32,32,25,25
113433000268,MAHATES,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA  LAZARO MARTINEZ OLIER,86,83,82,82
213433000106,MAHATES,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA ZEQUIEL MARTELO PIMIENTA DE SAN JOAQUIN,23,23,23,23
113433000021,MAHATES,INSTITUCIÓN EDUCATIVA CAMILO TORRES DE MAHATES,61,59,58,58
313440000418,MARGARITA,INSTITUCIÓN EDUCATIVA TÉCNICA EN SISTEMAS DE MARGARITA,50,50,50,50
213440000618,MARGARITA,INSTITUCIÓN EDUCATIVA DE CHILLOA,43,41,41,41
213440000502,MARGARITA,INSTITUCIÓN EDUCATIVA DE GUATACA SUR,16,16,16,16
21344000043,MARGARITA,INSTITUCIÓN EDUCATIVA DE MAMONCITO,30,30,29,29
113442000181,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,91,90,90,90
213442000925,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROINDUSTRIAL DE FLAMENCO,39,39,37,37
213442000411,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA DE RETIRO NUEVO,22,21,20,20
