codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
152405000207,LEIVA,INSTITUCION EDUCATIVA SAN GERARDO,51,Similar,10,Similar,11%,28%,60%,2%,63%,42%,63%,Matemáticas
152411000081,LINARES,INSTITUCION EDUCATIVA DIEGO LUIS CORDOBA,54,Similar,9,Similar,2%,43%,50%,4%,67%,39%,53%,Matemáticas
252411000612,LINARES,INSTITUCION EDUCATIVA LUIS CARLOS GALAN,62,Menor,13,Similar,0%,21%,63%,16%,54%,32%,44%,Matemáticas
252411000582,LINARES,INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS,58,Similar,9,Similar,0%,38%,54%,8%,56%,33%,49%,Matemáticas
252418000219,LOS ANDES,INSTITUCION EDUCATIVA TÉCNICA COMERCIAL PANGÚS,46,Similar,11,Similar,17%,50%,33%,0%,62%,42%,67%,Matemáticas
152418000133,LOS ANDES,INSTITUCION EDUCATIVA TECNICO SAN JUAN BAUTISTA,54,Similar,9,Similar,3%,35%,60%,3%,61%,39%,56%,Matemáticas
252418000154,LOS ANDES,INSTITUCION EDUCATIVA LA PAZ,53,Similar,12,Similar,0%,43%,57%,0%,65%,32%,54%,Matemáticas
252418000049,LOS ANDES,INSTITUCION EDUCATIVA AGROPECUARIO LA PLANADA,53,Similar,7,Mayor,0%,31%,69%,0%,67%,40%,55%,Matemáticas
152427000626,MAGÜÍ,INSTITUCION EDUCATIVA ELISEO PAYAN,41,Mayor,8,Mayor,31%,59%,10%,0%,78%,55%,67%,Matemáticas
352435000162,MALLAMA,INSTITUCION EDUCATIVA MUNICIPIO DE MALLAMA,48,Similar,12,Similar,16%,44%,40%,0%,62%,48%,63%,Matemáticas
25243500032,MALLAMA,INSTITUCION EDUCATIVA AGROPECUARIA SAN JUAN BAUTISTA DE LA SALLE,46,Similar,13,Similar,20%,47%,33%,0%,60%,52%,61%,Matemáticas
252435000176,MALLAMA,INSTITUCIÓN EDUCATIVA AGROAMBIENTAL PUSPUED,46,Similar,8,Mayor,9%,73%,18%,0%,80%,36%,70%,Matemáticas
152473000517,MOSQUERA,INSTITUCION EDUCATIVA LICEO DEL PACIFICO,39,Mayor,10,Similar,33%,54%,13%,0%,75%,62%,76%,Matemáticas
252473001062,MOSQUERA,INSTITUCION EDUCATIVA AGROPECUARIA COCAL DE LOS PAYANES,35,Mayor,7,Mayor,43%,57%,0%,0%,86%,64%,77%,Matemáticas
252001003568,NARIÑO,INSTITUCION EDUCATIVA JUAN PABLO II,52,Similar,12,Similar,11%,33%,47%,9%,54%,39%,60%,Matemáticas
15249000108,OLAYA HERRERA,INSTITUCION EDUCATIVA LA INMACULADA,44,Similar,10,Similar,21%,54%,25%,0%,73%,52%,68%,Matemáticas
152490000059,OLAYA HERRERA,INSTITUCION EDUCATIVA COMERCIAL LITORAL PACIFICO,41,Mayor,11,Similar,36%,43%,21%,0%,71%,58%,71%,Matemáticas
252490000266,OLAYA HERRERA,INSTITUCION EDUCATIVA LAS MARIAS,36,Mayor,6,Mayor,39%,61%,0%,0%,75%,76%,77%,Matemáticas
252490000614,OLAYA HERRERA,INSTITUCION EDUCATIVA MERIZALDE PORVENIR,47,Similar,12,Similar,33%,33%,33%,0%,73%,33%,67%,Matemáticas
25249000119,OLAYA HERRERA,INSTITUCION EDUCATIVA AGROPECUARIO DEL RIO SANQUIANGA,33,Mayor,6,Mayor,80%,20%,0%,0%,82%,65%,73%,Matemáticas
