codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
105148000243,EL CARMEN DE VIBORAL,I. E. TECNICO INDUSTRIAL JORGE ELIECER GAITAN,56,Menor,10,Similar,24%,36%,26%,14%,0%,Inglés
205148000582,EL CARMEN DE VIBORAL,I. E. SANTA MARIA,57,Menor,11,Similar,20%,37%,22%,17%,3%,Inglés
305148000838,EL CARMEN DE VIBORAL,COLEGIO MONSEÑOR RAMON ARCILA RAMIREZ,67,Menor,22,Menor,11%,11%,44%,11%,22%,Inglés
105148001002,EL CARMEN DE VIBORAL,I.E. EL PROGRESO,47,Similar,10,Similar,50%,33%,12%,5%,0%,Inglés
105150000099,CAROLINA,I. E. PBRO JULIO TAMAYO,48,Similar,8,Similar,49%,43%,8%,0%,0%,Inglés
105154000751,CAUCASIA,I. E. LA MISERICORDIA,53,Similar,10,Similar,33%,33%,30%,5%,0%,Inglés
105154000301,CAUCASIA,INSTITUCION EDUCATIVA LICEO CAUCASIA,52,Similar,10,Similar,37%,36%,19%,8%,1%,Inglés
205154000225,CAUCASIA,INSTITUCIÓN EDUCATIVA RURAL CACERI,43,Similar,5,Mayor,76%,24%,0%,0%,0%,Inglés
305154001463,CAUCASIA,COLEGIO LA INMACULADA,62,Menor,10,Similar,10%,25%,35%,30%,0%,Inglés
205154000977,CAUCASIA,INSTITUCIÓN EDUCATIVA RURAL CUTURU,40,Similar,7,Mayor,83%,17%,0%,0%,0%,Inglés
105154000298,CAUCASIA,INSTITUCION EDUCATIVA SANTA TERESITA,56,Menor,11,Similar,16%,46%,22%,14%,2%,Inglés
305154002036,CAUCASIA,COLEGIO MILITAR CENTRO EDUCATIVO EL TESORO DEL SABER,48,Similar,10,Similar,55%,26%,16%,1%,1%,Inglés
105154002274,CAUCASIA,I. E. ESCUELA NORMAL SUPERIOR DEL BAJO CAUCA,50,Similar,10,Similar,40%,33%,19%,8%,0%,Inglés
10515400028,CAUCASIA,INSTITUCION EDUCATIVA SANTO DOMINGO,49,Similar,8,Similar,49%,31%,20%,0%,0%,Inglés
10515400188,CAUCASIA,INSTITUCION EDUCATIVA DIVINO NIÑO,52,Similar,11,Similar,38%,36%,19%,5%,2%,Inglés
305154001722,CAUCASIA,COLEGIO LOS SAUCES,66,Menor,8,Similar,6%,6%,44%,39%,6%,Inglés
105154000409,CAUCASIA,I. E. MARCO FIDEL SUAREZ,48,Similar,8,Similar,51%,33%,15%,0%,0%,Inglés
205154002015,CAUCASIA,I. E. LICEO CONCEJO MUNICIPAL,47,Similar,9,Similar,54%,36%,9%,1%,0%,Inglés
205154000896,CAUCASIA,INSTITUCION EDUCATIVA RURAL MARGENTO,44,Similar,9,Similar,75%,25%,0%,0%,0%,Inglés
